No,S,T,Typology,FAR,Env_R,E_R,total_inh,n_total,lca_total,solar_sc,solar_au
194,4,15,5,1.471673,2,2,1752,53.65049907,9.533809704,0.705403935,0.345382727
195,1,15,5,1.471673,2,2,1792,51.29193915,9.353404854,0.612079064,0.327769332
196,3,15,5,1.471673,2,2,2081,51.94113329,9.359213124,0.550687012,0.306667752
197,2,15,5,1.471673,2,2,1788,48.52889532,9.130599636,0.468552589,0.292241112
198,4,14,5,1.699608,2,2,1862,52.69627316,9.923452831,0.763444529,0.338982064
199,1,14,5,1.699608,2,2,1901,52.00591026,9.854933597,0.700863821,0.325487717
200,3,14,5,1.699608,2,2,2194,50.74938184,9.710185357,0.571641239,0.298191546
201,4,13,4,3.461759,2,2,2933,48.73212175,11.8840949,0.744175573,0.320408335
202,3,13,4,3.461759,2,2,3320,48.26178924,11.79407755,0.592581299,0.282569555
203,4,12,4,2.200234,2,2,2196,50.97034003,10.31639118,0.658180636,0.354722238
204,3,12,4,2.200234,2,2,2566,49.87628352,10.18332241,0.505049196,0.306885531
205,4,11,4,2.711107,2,2,2462,49.5445776,12.15298992,0.757559665,0.312871424
206,3,11,4,2.711107,2,2,2832,50.70462677,12.20217014,0.673803945,0.282097229
207,4,10,3,3.098888,2,2,2688,47.86990402,10.65364909,0.677967663,0.331135819
208,3,10,3,3.098888,2,2,3106,49.10792211,10.67086291,0.565672165,0.293272014
209,4,9,3,2.406857,2,2,2240,53.45590222,10.49886994,0.730894159,0.334124801
210,3,9,3,2.406857,2,2,2688,52.09891471,10.32827335,0.58687764,0.306519556
211,4,8,3,1.911589,2,2,1994,53.45083397,10.02495463,0.74610862,0.340731267
212,1,8,3,1.911589,2,2,2068,51.57754975,9.86616638,0.662834079,0.32818835
213,3,8,3,1.911589,2,2,2381,51.74688415,9.833814936,0.582788572,0.30599347
214,4,7,2,3.032621,2,2,2588,54.14625276,10.6227192,0.698995207,0.348045015
215,3,7,2,3.032621,2,2,3096,51.88574992,10.40985922,0.517315466,0.311703867
216,4,6,2,2.384204,2,2,2251,53.49811348,10.11621774,0.649079182,0.346201622
217,3,6,2,2.384204,2,2,2615,52.97646075,10.04321448,0.541887483,0.313220245
218,4,5,2,2.783806,2,2,2474,54.56786621,10.78360343,0.704392168,0.337167441
219,3,5,2,2.783806,2,2,2918,53.22456699,10.63078088,0.541185097,0.305109941
220,4,4,1,4.457837,2,2,3308,49.57989701,15.11119197,0.956753145,0.203420563
221,3,4,1,4.457837,2,2,3983,45.34938177,14.70919785,0.814080611,0.220190513
222,4,3,1,5.610568,2,2,4062,47.05275448,13.25839105,0.946946346,0.213284142
223,3,3,1,5.610568,2,2,4767,42.61948013,12.86701267,0.790121449,0.220022163
224,4,2,1,3.531471,2,2,2837,47.48469922,14.33545467,0.929366006,0.24353364
225,3,2,1,3.531471,2,2,3372,46.89148974,14.21127927,0.778296233,0.232837256
226,2,1,7,0,3,2,994,43.94215417,4.057404923,0.4397991,0.282524312
227,1,1,7,0,3,2,1003,48.76027036,4.439636483,0.669187848,0.334952035
228,4,19,6,1.981873,3,2,2056,47.41498634,9.942282416,0.842832814,0.313626201
229,3,19,6,1.981873,3,2,2452,42.55029576,9.487140792,0.559288614,0.273909905
230,4,18,6,0.815402,3,2,1385,47.42416506,7.782439989,0.629224001,0.364090109
231,1,18,6,0.815402,3,2,1440,49.23997669,7.892776628,0.622068833,0.349190008
232,3,18,6,0.815402,3,2,1611,47.5797243,7.733159198,0.510492026,0.322399122
233,2,18,6,0.815402,3,2,1430,43.99278775,7.489662664,0.419606657,0.300982757
234,4,17,6,1.377649,3,2,1689,46.91559578,9.203369027,0.703538409,0.344471665
235,1,17,6,1.377649,3,2,1728,48.76278384,9.374289079,0.693882594,0.324634618
236,3,17,6,1.377649,3,2,1966,46.17247232,9.096319729,0.566508448,0.307286382
237,4,16,5,2.969017,3,2,2649,44.20400642,10.44114935,0.749768829,0.321163883
238,3,16,5,2.969017,3,2,3091,43.90415144,10.34349408,0.590308832,0.282649482
239,4,15,5,1.471673,3,2,1752,47.44121321,9.208546613,0.704426846,0.34608452
240,1,15,5,1.471673,3,2,1792,45.05529964,9.025353793,0.611472112,0.328058651
241,3,15,5,1.471673,3,2,2081,45.69677008,9.030348905,0.549384313,0.306875147
242,2,15,5,1.471673,3,2,1788,42.22235457,8.795810983,0.466979886,0.292381162
243,4,14,5,1.699608,3,2,1862,46.98063691,9.618536809,0.763426707,0.339145968
244,1,14,5,1.699608,3,2,1901,46.2652652,9.547845808,0.701170698,0.325144472
245,3,14,5,1.699608,3,2,2194,45.00893138,9.402880392,0.571444902,0.297855047
246,4,13,4,3.461759,3,2,2933,44.89291424,11.68182657,0.74284466,0.320768007
247,3,13,4,3.461759,3,2,3320,44.40000431,11.58986016,0.591137508,0.282794569
248,4,12,4,2.200234,3,2,2196,45.83797996,10.05053859,0.65893837,0.354800236
249,3,12,4,2.200234,3,2,2566,44.71247653,9.91443042,0.504992808,0.306746393
250,4,11,4,2.711107,3,2,2462,45.13476192,11.91626797,0.75833491,0.312849426
251,3,11,4,2.711107,3,2,2832,46.27213449,11.96317445,0.672012365,0.28271527
252,4,10,3,3.098888,3,2,2688,43.72950735,10.4360726,0.678281581,0.331018168
253,3,10,3,3.098888,3,2,3106,44.94665108,10.45134793,0.565280776,0.292987452
254,4,9,3,2.406857,3,2,2240,48.55848531,10.24554891,0.730077646,0.334515147
255,3,9,3,2.406857,3,2,2688,47.18334466,10.0730558,0.586017802,0.306812431
256,4,8,3,1.911589,3,2,1994,47.99730785,9.737682009,0.745226217,0.341370116
257,1,8,3,1.911589,3,2,2068,46.10024597,9.576743817,0.6617862,0.328558505
258,3,8,3,1.911589,3,2,2381,46.26650078,9.54408524,0.581548386,0.306104494
259,4,7,2,3.032621,3,2,2588,49.81077634,10.40254904,0.698599335,0.348417674
260,3,7,2,3.032621,3,2,3096,47.52778556,10.18756674,0.516857986,0.31183913
261,4,6,2,2.384204,3,2,2251,48.52101656,9.861886733,0.649046212,0.346331257
262,3,6,2,2.384204,3,2,2615,47.97337856,9.786431872,0.540668792,0.313521748
263,4,5,2,2.783806,3,2,2474,50.05160874,10.55155184,0.703862347,0.337548764
264,3,5,2,2.783806,3,2,2918,48.68455046,10.3966574,0.540799009,0.305071112
265,4,4,1,4.457837,3,2,3308,46.59020311,14.94047799,0.9566362,0.203235878
266,3,4,1,4.457837,3,2,3983,42.3435717,14.53696668,0.813612807,0.220247924
267,4,3,1,5.610568,3,2,4062,44.50716148,13.11445522,0.946800164,0.213253338
268,3,3,1,5.610568,3,2,4767,40.05842205,12.72133465,0.790468271,0.219741155
